id,name,reaction_count,associated_reactions
BSU26590,blt,1,SPMDt3i
BSU34570,mdxK,1,MPL
BSU24310,folD,2,"MTHFD, MTHFC"
BSU37500,speE,2,"SPRMS, SPMS"
BSU11010,samT,1,MTHFR3
BSU03910,gabD,1,SSALy
BSU13550,mtnA,1,MTRI
BSU30790,menE,1,SUCBZL
BSU30780,menC,1,SUCBZS
BSU13560,mtnK,1,MTRK
BSU28430,sdhB,2,"SUCD5_BS, SUCD1"
BSU32100,yumB,1,NADH4
BSU28440,sdhA,2,"SUCD5_BS, SUCD1"
BSU28450,sdhC,2,"SUCD5_BS, SUCD1"
BSU12290,ndh,1,NADH4
BSU16090,sucC,1,SUCOAS
BSU32200,yutJ,1,NADH4
BSU16100,sucD,1,SUCOAS
BSU11610,ppnKA,6,"NADK1, NADK3, NADK4, NADK, NADK5, NADK2"
BSU03130,nadE,1,NADS1
BSU38050,sacP,1,SUCpts
BSU02750,natA,1,NAabcO
BSU01680,ybbF,1,SUCpts
BSU02760,natB,1,NAabcO
BSU09850,yhaU,1,NAt3_1
BSU31640,mrpE,1,NAt3_1
BSU33430,cysI,1,SULR_1
BSU09680,nhaC,1,NAt3_1
BSU33440,cysJ,1,SULR_1
BSU12380,uxaB,1,TAGURr
BSU33420,nhaK,1,NAt3_1
BSU37110,ywjH,1,TALA
BSU11640,yjbQ,1,NAt3_1
BSU31750,pncB,1,NAPRT
BSU35710,tagG,3,"TECA1S45, TECA3S45, TECA2S45"
BSU35760,tagB,3,"TECA1S45, TECA3S45, TECA2S45"
BSU22730,ndk,9,"NDPK1, NDPK8, NDPK2, NDPK5, NDPK6, NDPK3, NDPK4, NDPK9, NDPK7"
BSU35720,tagF,3,"TECA1S45, TECA3S45, TECA2S45"
BSU36510,amtB,1,NH4t
BSU35700,tagH,3,"TECA1S45, TECA3S45, TECA2S45"
BSU25640,nadD,2,"NNATr, NMNAT"
BSU31760,pncA,1,NNAM
BSU27860,nadC,1,NNDPR
BSU35530,tagO,3,"TECA1S45, TECA3S45, TECA2S45"
BSU38060,ywcJ,2,"NO2t2r, NO2t3"
BSU35750,tagA,3,"TECA1S45, TECA3S45, TECA2S45"
BSU35730,tagE,1,TECA3S45
BSU37320,narK,1,NO2t3
BSU35690,ggaA,1,TECA4S_BS
BSU03330,nasA,1,NO3t2
BSU35680,ggaB,1,TECA4S_BS
BSU30800,menB,1,NPHS
BSU35590,tuaC,1,TEICH45
BSU03320,nasB,1,NTR3B
BSU35600,tuaB,1,TEICH45
BSU03310,nasC,1,NTR3B
BSU37280,narG,1,NTR3B
BSU35570,tuaE,1,TEICH45
BSU37260,narJ,1,NTR3B
BSU35550,tuaG,1,TEICH45
BSU37270,narH,1,NTR3B
BSU35540,tuaH,1,TEICH45
BSU03290,nasE,1,NTRIR2x
BSU35609,tuaA,1,TEICH45
BSU03300,nasD,1,NTRIR2x
BSU16990,tdh,1,THRD
BSU11250,argF,1,OCBT_1
BSU38990,atoA,1,OCOAT1
BSU21770,ilvA,1,THRD_L
BSU38980,atoB,1,OCOAT1
BSU32250,thrC,1,THRS
BSU24030,bkdB,3,"OIVD2, OIVD3, OIVD1r"
BSU17890,tkt,2,"TKT1, TKT2"
BSU21820,thyB,1,TMDS
BSU24060,lpdV,3,"OIVD2, OIVD3, OIVD1r"
BSU24050,bkdAA,3,"OIVD2, OIVD3, OIVD1r"
BSU17680,thyA,1,TMDS
BSU24040,bkdAB,3,"OIVD2, OIVD3, OIVD1r"
BSU15550,pyrF,1,OMPDC
BSU11650,tenA,1,TMN
BSU40340,rocD,1,ORNTA_1
BSU15560,pyrE,1,ORPT
BSU05900,thiL,1,TMPK
BSU33240,oxdC,1,OXADC
BSU18670,yoaN,1,OXADC
BSU38290,thiE,1,TMPPP
BSU33920,tpiA,1,TPI
BSU23800,proI,1,P5CR
BSU18480,proH,1,P5CR
BSU12910,proG,1,P5CR
BSU03270,ycgT,1,TRDR
BSU22420,panC,1,PANTS
BSU15190,mraY,1,PAPPT3
BSU34790,trxB,1,TRDR
BSU24090,ptb,1,PBUTT
BSU32110,yumC,1,TRDR
BSU37660,pta,3,"PTAr, PTA2, PBUTT"
BSU07810,treA,1,TRE6PH
BSU07800,treP,1,TREpts
BSU22640,trpB,1,TRPS1
BSU14860,pycA,1,PC
BSU22630,trpA,1,TRPS1
BSU14590,pdhB,1,PDH
BSU14580,pdhA,1,PDH
BSU10010,trpP,1,TRPt2r
BSU14600,pdhC,1,PDH
BSU15180,murE,1,UAAGDS
BSU35660,mnaA,2,"UAG2EMA, UAG2E"
BSU39540,yxeI,1,PENCAC
BSU38860,galE,2,"UDPG4E, UAG4E"
BSU29190,pfkA,2,"PFK_2, PFK"
BSU30870,ytcB,1,UAG4E
BSU01770,glmM,2,"PGAMT, PGMT"
BSU37100,murAB,1,UAGCVT
BSU23070,serA,1,PGCD
BSU23860,gndA,1,GND
BSU36760,murAA,1,UAGCVT
BSU33930,pgk,1,PGK
BSU09240,glpW,1,PGLYCP
BSU15220,murG,1,UAGPT3
BSU15200,murD,1,UAMAGS
BSU33910,pgm,1,PGM
BSU16540,cdsA,1,PHCYT_BS
BSU29790,murC,1,UAMAS
BSU19800,phy,1,PHYT3
BSU15230,murB,1,UAPGR
BSU31150,uppP,1,UDCPDP
BSU24960,pstBA,1,PIabc
BSU35580,tuaD,1,UDPGD
BSU04570,murF,1,UGMDDS
BSU24990,pstS,1,PIabc
BSU21920,ugtP,3,"UGT1_BS, UGT2_BS, UGT_BS"
BSU24950,pstBB,1,PIabc
BSU24970,pstA,1,PIabc
BSU13580,mtnE,1,UNK5
BSU24980,pstC,1,PIabc
BSU15610,sumT,1,UPP3MT_2
BSU12840,pit,1,PIt2r
BSU03280,nasF,1,UPP3MT_2
BSU28140,hemD,1,UPP3S
BSU25420,yqeW,1,PIt7
BSU10120,hemE,1,UPPDC1
BSU36890,upp,1,UPPRT
BSU09310,pgcA,1,PMANM
BSU03010,amhX,1,PNTEH
BSU23760,coaA,2,"PNTK, APNPT"
BSU36470,pucI,1,URAt2
BSU38240,ywcA,1,PNTOt2
BSU15480,pyrP,1,URAt2
BSU40550,ppaC,1,PPA
BSU39360,hutU,1,URCN
BSU36650,ureB,1,UREA
BSU28130,hemB,1,PPBNGS
BSU36660,ureA,1,UREA
BSU15700,coaBC,2,"PPCDC, PPNCL"
BSU36640,ureC,1,UREA
BSU30560,pckA,1,PPCK
BSU23920,yqjD,1,PPCOAC
BSU18210,yngE,1,PPCOAC
BSU32460,pucM,1,URIC
